iter	Passed	Remaining
555	8596	6864
556	8610	6848
557	8626	6833
558	8641	6817
559	8655	6800
560	8672	6786
561	8687	6771
562	8703	6755
563	8718	6740
564	8733	6724
565	8748	6707
566	8764	6693
567	8779	6676
568	8795	6662
569	8812	6647
570	8827	6631
571	8842	6616
572	8859	6601
573	8875	6587
574	8890	6571
575	8905	6555
576	8920	6539
577	8935	6523
578	8950	6508
579	8965	6492
580	8981	6477
581	8998	6463
582	9014	6447
583	9029	6432
584	9044	6416
585	9059	6400
586	9074	6384
587	9089	6368
588	9104	6352
589	9118	6336
590	9133	6321
591	9150	6306
592	9165	6290
593	9183	6276
594	9197	6260
595	9212	6244
596	9227	6228
597	9242	6213
598	9257	6197
599	9273	6182
600	9289	6167
601	9304	6151
602	9318	6134
603	9332	6118
604	9347	6102
605	9361	6086
606	9375	6070
607	9391	6054
608	9406	6039
609	9421	6023
610	9436	6007
611	9450	5991
612	9467	5977
613	9483	5962
614	9498	5946
615	9513	5930
616	9529	5915
617	9547	5901
618	9562	5886
619	9577	5869
620	9594	5855
621	9609	5839
622	9623	5823
623	9638	5807
624	9653	5792
625	9669	5776
626	9683	5760
627	9698	5744
628	9712	5728
629	9728	5713
630	9743	5697
631	9758	5682
632	9775	5667
633	9789	5651
634	9804	5635
635	9819	5619
636	9834	5604
637	9848	5587
638	9865	5573
639	9881	5558
640	9896	5542
641	9912	5527
642	9927	5511
643	9943	5496
644	9958	5480
645	9973	5465
646	9988	5449
647	10004	5434
648	10021	5419
649	10035	5403
650	10049	5387
651	10064	5371
652	10079	5356
653	10095	5340
654	10111	5326
655	10128	5311
656	10145	5296
657	10161	5281
658	10178	5266
659	10193	5251
660	10207	5234
661	10224	5220
662	10239	5204
663	10256	5190
664	10271	5174
665	10286	5158
666	10303	5143
667	10318	5128
668	10334	5113
669	10349	5097
670	10366	5083
671	10383	5068
672	10398	5052
673	10413	5036
674	10427	5020
675	10440	5004
676	10454	4987
677	10469	4972
678	10484	4956
679	10499	4940
680	10513	4924
681	10528	4909
682	10542	4892
683	10555	4876
684	10571	4861
685	10586	4845
686	10600	4829
687	10616	4814
688	10632	4799
689	10648	4783
690	10663	4768
691	10679	4753
692	10695	4738
693	10710	4722
694	10728	4708
695	10743	4692
696	10758	4677
697	10773	4661
698	10788	4645
699	10803	4630
700	10818	4614
701	10833	4598
702	10847	4582
703	10862	4567
704	10876	4551
705	10892	4535
706	10906	4519
707	10923	4505
708	10938	4489
709	10952	4473
710	10968	4458
711	10982	4442
712	10996	4426
713	11011	4410
714	11025	4394
715	11042	4379
716	11057	4364
717	11073	4349
718	11088	4333
719	11102	4317
720	11117	4302
721	11132	4286
722	11146	4270
723	11160	4254
724	11177	4239
725	11192	4224
726	11208	4208
727	11222	4193
728	11239	4178
729	11254	4162
730	11269	4147
731	11284	4131
732	11300	4116
733	11314	4100
734	11329	4084
735	11344	4069
736	11358	4053
737	11373	4037
738	11388	4022
739	11403	4006
740	11417	3990
741	11432	3975
742	11446	3959
743	11460	3943
744	11474	3927
745	11490	3912
746	11505	3896
747	11521	3881
748	11535	3865
749	11552	3850
750	11567	3835
751	11584	3820
752	11598	3804
753	11613	3789
754	11628	3773
755	11645	3758
756	11663	3743
757	11677	3728
758	11692	3712
759	11706	3696
760	11721	3681
761	11736	3665
762	11752	3650
763	11767	3635
764	11782	3619
765	11797	3603
766	11815	3589
767	11830	3573
768	11845	3558
769	11863	3543
770	11877	3527
771	11892	3512
772	11907	3496
773	11921	3481
774	11936	3465
775	11952	3450
776	11967	3434
777	11982	3419
778	11997	3403
779	12013	3388
780	12028	3372
781	12042	3357
782	12058	3341
783	12074	3326
784	12087	3310
785	12102	3295
786	12116	3279
787	12132	3264
788	12147	3248
789	12161	3232
790	12176	3217
791	12191	3201
792	12205	3185
793	12220	3170
794	12234	3154
795	12251	3139
796	12266	3124
797	12281	3108
798	12296	3093
799	12311	3077
800	12325	3062
801	12342	3047
802	12356	3031
803	12369	3015
804	12384	2999
805	12399	2984
806	12417	2969
807	12432	2954
808	12448	2939
809	12466	2924
810	12482	2908
811	12497	2893
812	12512	2877
813	12528	2862
814	12543	2847
815	12558	2831
816	12572	2816
817	12590	2801
818	12604	2785
819	12621	2770
820	12639	2755
821	12653	2740
822	12666	2724
823	12681	2708
824	12696	2693
825	12710	2677
826	12726	2662
827	12741	2646
828	12758	2631
829	12772	2616
830	12787	2600
831	12806	2585
832	12822	2570
833	12836	2555
834	12852	2539
835	12869	2524
836	12885	2509
837	12900	2493
838	12914	2478
839	12929	2462
840	12943	2447
841	12958	2431
842	12973	2416
843	12986	2400
844	13001	2384
845	13014	2369
846	13029	2353
847	13043	2338
848	13058	2322
849	13072	2306
850	13086	2291
851	13101	2275
852	13115	2260
853	13129	2244
854	13142	2228
855	13157	2213
856	13170	2197
857	13187	2182
858	13202	2167
859	13218	2151
860	13232	2136
861	13246	2120
862	13261	2105
863	13276	2089
864	13291	2074
865	13306	2058
866	13322	2043
867	13337	2028
868	13352	2012
869	13366	1997
870	13382	1982
871	13397	1966
872	13411	1951
873	13426	1935
874	13444	1920
875	13458	1905
876	13472	1889
877	13486	1873
878	13501	1858
879	13516	1843
880	13530	1827
881	13544	1812
882	13559	1796
883	13577	1781
884	13592	1766
885	13607	1750
886	13622	1735
887	13637	1720
888	13653	1704
889	13668	1689
890	13684	1674
891	13699	1658
892	13715	1643
893	13731	1628
894	13746	1612
895	13764	1597
896	13779	1582
897	13795	1566
898	13810	1551
899	13825	1536
900	13840	1520
901	13856	1505
902	13870	1490
903	13884	1474
904	13898	1459
905	13913	1443
906	13926	1427
907	13941	1412
908	13956	1397
909	13971	1381
910	13985	1366
911	14000	1350
912	14014	1335
913	14028	1320
914	14043	1304
915	14061	1289
916	14074	1273
917	14090	1258
918	14105	1243
919	14120	1227
920	14136	1212
921	14149	1197
922	14164	1181
923	14180	1166
924	14195	1151
925	14210	1135
926	14224	1120
927	14239	1104
928	14254	1089
929	14269	1074
930	14282	1058
931	14297	1043
932	14312	1027
933	14326	1012
934	14339	996
935	14353	981
936	14367	965
937	14382	950
938	14399	935
939	14413	920
940	14429	904
941	14443	889
942	14458	873
943	14473	858
944	14486	843
945	14500	827
946	14516	812
947	14532	797
948	14548	781
949	14561	766
950	14576	751
951	14590	735
952	14604	720
953	14618	704
954	14635	689
955	14651	674
956	14668	659
957	14683	643
958	14698	628
959	14714	613
960	14730	597
961	14746	582
962	14760	567
963	14775	551
964	14791	536
965	14807	521
966	14822	505
967	14838	490
968	14854	475
969	14868	459
970	14883	444
971	14897	429
972	14911	413
973	14926	398
974	14941	383
975	14955	367
976	14970	352
977	14987	337
978	15001	321
979	15015	306
980	15030	291
981	15044	275
982	15058	260
983	15072	245
984	15087	229
985	15102	214
986	15117	199
987	15134	183
988	15147	168
989	15162	153
990	15176	137
991	15192	122
992	15209	107
993	15223	91
994	15238	76
995	15253	61
996	15268	45
997	15282	30
998	15298	15
999	15312	0
